sample_name	library_ID	title	HOST	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	mouseID	age (months)	genotype	Cage	FMT donor	collection_date	Time to cross challenge beam (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)
CALTEC-001-ASO1_5mo_aFMT	CALTEC-001-ASO1_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268371		5	ASO	1	ASO 5 months	2024	60	15.8	13.31	7.06	33	22.85044	10	3
CALTEC-001-ASO2_5mo_aFMT	CALTEC-001-ASO2_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6001	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268372		5	ASO	1	ASO 5 months	2024	13.84	37.7	30	6.07	27	31.48981	10	7
CALTEC-001-ASO3_5mo_aFMT	CALTEC-001-ASO3_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6002	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268373		5	ASO	1	ASO 5 months	2024	60	13.75	19.84	0	33	30.37313	9	5
CALTEC-001-ASO4_5mo_aFMT	CALTEC-001-ASO4_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6003	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268374		5	ASO	1	ASO 5 months	2024	16.51	6.47	13.84	3	36	37.66328	6	6
CALTEC-001-ASO5_5mo_aFMT	CALTEC-001-ASO5_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6004	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268375		5	ASO	1	ASO 5 months	2024	17.26	30.51	30	9	30	46.48045	6	0
CALTEC-001-ASO6_5mo_aFMT	CALTEC-001-ASO6_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6005	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268376		5	ASO	2	ASO 5 months	2024	49.42	18.08	16.51	7	32	32.03964	12	5
CALTEC-001-ASO7_5mo_aFMT	CALTEC-001-ASO7_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6006	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268377		5	ASO	2	ASO 5 months	2024	27.56	60	17.26	3	32	35.40792	21	2
CALTEC-001-ASO8_5mo_aFMT	CALTEC-001-ASO8_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6007	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268378		5	ASO	2	ASO 5 months	2024	14.08	1.06	8.12	6	28.6	37.81147	4	2
CALTEC-001-ASO9_5mo_aFMT	CALTEC-001-ASO9_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6008	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268379		5	ASO	2	ASO 5 months	2024	13.58	20.13	13	10	32.9	38.52596	6	6
CALTEC-001-ASO10_5mo_aFMT	CALTEC-001-ASO10_5mo_aFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6009	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268380		5	ASO	2	ASO 5 months	2024	48.52	26.23	28	5	29.1	53.10306	4	3
CALTEC-001-ASO1_5mo_yFMT	CALTEC-001-ASO1_5mo_yFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6010	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268381		5	ASO	3	WT 2 months	2024	10.4	17.7	7.7	3	30.5	27.66382	7	7
CALTEC-001-ASO2_5mo_yFMT	CALTEC-001-ASO2_5mo_yFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6011	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268382		5	ASO	3	WT 2 months	2024	10	8.36	8.36	3	39	50.94894	2	6
CALTEC-001-ASO3_5mo_yFMT	CALTEC-001-ASO3_5mo_yFMT	Fecal metagenome of a mouse model overexpressing human alpha-synuclein (ASO)	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6012	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268383		5	ASO	3	WT 2 months	2024	10.5	5.37	5.37	3	38	58.32932	1	9
